"regime","gamma","estimator","target","bias_own","mcse_bias","bias_pop","rmse_own","sd_est","mean_se","cover95","mcse_cover","target_pop","target_surv","target_surv_s","R"
"MNAR_trait",0,"ipw","target_pop",-0.177832294861838,0.00137852192091038,-0.177832294861838,0.183092182955941,0.043592690745473,NA,NA,NA,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_trait",0,"ec","target_surv",-0.000712759320124659,0.00141409729062335,-0.000712759320124659,0.0447010011302808,0.0447176827144284,0.0441581187592057,0.944,0.00727076337120113,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_nonstat",0.3,"naive","target_surv",-0.278750880757046,0.00138675032908334,-0.308193172224996,0.282175843972453,0.0440270127480118,0.0428683285858281,0,0,0.189599354220571,0.160157062752622,0.157686404051271,1000
"MNAR_nonstat",0.3,"sm","target_surv",-0.0808526874449056,0.00165308122104112,-0.110294978912855,0.0962657878630775,0.0523856201105808,0.0523219489295286,0.653,0.0150529399121899,0.189599354220571,0.160157062752622,0.157686404051271,1000
"MNAR_nonstat",0.3,"ssm","target_surv_s",-0.0680528116981733,0.001776842428062,-0.0999657618674737,0.0882337635215348,0.056330291261358,0.0551646578851988,0.76,0.0135055544129073,0.189599354220571,0.160157062752622,0.157686404051271,1000
"MNAR_nonstat",0.3,"ipw","target_pop",-0.291660105489157,0.00138325869084808,-0.291660105489157,0.294918816515914,0.0438125935294303,NA,NA,NA,0.189599354220571,0.160157062752622,0.157686404051271,1000
"MNAR_nonstat",0.3,"ec","target_surv",-0.00167635644237291,0.00142066878877562,-0.0311186479103227,0.0449343040283886,0.0450314904830603,0.0445618579281633,0.946,0.00714730718522718,0.189599354220571,0.160157062752622,0.157686404051271,1000
"MNAR_nonstat",0,"naive","target_surv",-0.278750880757046,0.00138675032908334,-0.278750880757046,0.282175843972453,0.0438528958589141,0.0427014766194421,0,0,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_nonstat",0,"sm","target_surv",-0.0808526874449056,0.00165308122104112,-0.0808526874449056,0.0962657878630775,0.0522750181574221,0.0521852755464691,0.651,0.0150731217735411,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_nonstat",0,"ssm","target_surv_s",-0.0680528116981733,0.001776842428062,-0.0680528116981733,0.0882337635215348,0.056188691158998,0.0550240236855192,0.759,0.0135247550809617,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_nonstat",0,"ipw","target_pop",-0.261999466857746,0.00137978173978838,-0.261999466857746,0.26560424410304,0.0436325297164105,NA,NA,NA,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_nonstat",0,"ec","target_surv",-0.0016763564423729,0.00142066878877562,-0.0016763564423729,0.0449343040283886,0.044925491732436,0.0444695040587635,0.946,0.00714730718522718,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_state",0.3,"naive","target_surv",-0.126953046112556,0.00138335015682116,-0.138581296965168,0.134271441177852,0.044002533927553,0.0435398162041098,0.166,0.0117662228433767,0.189650757663719,0.178022506811107,0.17537740890212,1000
